level_0	objid	redshift	redshift_error	ra_obj	dec_obj	snr_Ha	emline_flag	Par	index	cosmosra	cosmosdec	cosmosid	cosmosz	cosmoshst	cosmoszmed	cosmoszlow	cosmoszup	cosmos2020ra	cosmos2020dec	cosmos2020id	cosmos2020z	cosmos2020hst	cosmos2020zlow	cosmos2020zup
188	3142.0	1.16098	0.00074	150.631287	2.095692	20.655737704918035	4.0	Par005	160	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6312797762435	2.0957018057609105	705605.0	1.0787	23.587038040161133	1.0562	1.1072
189	3173.0	2.09463	0.0	150.653465	2.096077	-1.0	2.0	Par005	161	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65346850226376	2.09607801980633	704928.0	0.2316	25.91425132751465	0.0574	0.2971
190	3179.0	1.32921	0.00136	150.640057	2.096134	6.395348837209302	4.0	Par005	162	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6400613265008	2.0961443159890405	704872.0	3.1423	25.21241569519043	3.0769	3.2149
191	3188.0	0.74922	0.0	150.643188	2.096114	6.9	4.0	Par005	163	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6431837632919	2.096114854749213	706173.0	0.7211	23.24492645263672	0.7041	0.7374
192	3194.0	1.23819	0.00163	150.648787	2.096137	8.854961832061068	4.0	Par005	164	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64874008678828	2.096149265437197	705081.0	3.0605	24.757112503051758	2.9886	3.1486
193	3251.0	1.299	0.0	150.632135	2.096665	5.142118863049095	4.0	Par005	165	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63214721887968	2.0966699329955296	705359.0	2.2554	26.055667877197266	1.1895	2.5202
194	3305.0	1.15179	0.00142	150.636563	2.097243	6.227544910179641	4.0	Par005	166	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63656448597456	2.0972568938375344	705911.0	2.9205	25.063772201538086	0.1002	3.0815
195	3335.0	2.24623	0.00018	150.638015	2.097622	-1.0	1.0	Par005	167	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63800868552497	2.0976238269299756	705932.0	2.0704	26.522705078125	0.1701	2.5296
196	3344.0	1.19156	0.0	150.65788	2.097615	8.579545454545455	2.0	Par005	168	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65787433286255	2.097609798378197	706603.0	1.1342	24.70077896118164	1.0965	1.1762
197	3359.0	1.12003	0.00084	150.653507	2.097646	5.746031746031746	1.0	Par005	169	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65348767931337	2.0976660122910737	706679.0	1.0863	25.653060913085938	0.962	1.1579
198	3365.0	2.0033	0.00107	150.656207	2.097679	-1.0	1.0	Par005	170	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65618667027653	2.0977196906657287	707243.0	2.0155	23.942245483398438	1.9854	2.0482
202	3502.0	1.29047	0.00155	150.637531	2.099263	8.526315789473685	4.0	Par005	174	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6375333071002	2.099243649273856	710050.0	1.9591	23.667802810668945	1.9124	1.9992
203	3515.0	1.48636	0.00058	150.650701	2.099486	4.791666666666667	2.0	Par005	175	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65069831707237	2.099482761333196	708042.0	1.132	26.55259132385254	1.0452	1.2731
204	3523.0	1.15579	0.0	150.648501	2.099566	18.33333333333333	1.0	Par005	176	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64850366133254	2.099574400885009	708599.0	1.0303	24.90373420715332	0.98	1.0779
207	3660.0	1.16549	0.00077	150.632897	2.100737	20.352112676056336	4.0	Par005	179	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6328694793402	2.1007402598110785	714633.0	1.0574	23.66842269897461	1.0296	1.1236
208	3713.0	1.37376	0.0	150.657895	2.101256	9.156010230179028	1.0	Par005	180	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6578925918769	2.1012626709439	710287.0	1.2956	24.980653762817383	1.2486	1.355
209	3716.0	1.15235	0.0	150.632943	2.101452	7.068273092369478	4.0	Par005	181	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.63294431798843	2.1014657262248315	709756.0	1.475	26.975631713867188	1.024	1.8984
210	3725.0	1.27089	0.00237	150.640772	2.101458	6.118421052631579	4.0	Par005	182	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64077428306078	2.101459037680381	709925.0	0.7669		0.3559	0.8965
211	3766.0	1.06381	0.0	150.64914	2.102002	13.717277486910996	4.0	Par005	183	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64912251035332	2.1020232015757205	710670.0	0.5741	25.633159637451172	0.5136	0.6351
212	3770.0	1.14377	0.00048	150.650825	2.101995	9.642857142857142	1.0	Par005	184	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6508181871684	2.101991058375552	710715.0	1.0146	25.41423225402832	0.9476	1.0718
213	3783.0	2.13461	0.0	150.664237	2.10225	-1.0	4.0	Par005	185	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6642374792434	2.1022525618351677	710956.0	2.3485	24.869585037231445	2.2366	2.4592
215	3848.0	1.71433	0.0	150.644795	2.103165	-1.0	3.0	Par005	187	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64479543110417	2.1031789435862094	711519.0	1.8611	26.444625854492188	1.1849	2.2115
216	3865.0	2.08539	0.0	150.651784	2.103306	-1.0	2.0	Par005	188	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6517907610833	2.103288048409332	711623.0	2.4415	26.602365493774414	2.0996	2.6753
218	3911.0	1.07369	0.00038	150.658092	2.103961	16.908315565031984	4.0	Par005	190	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65809447293	2.103963521974554	712387.0	1.7694	25.785053253173828	1.5369	1.9699
219	3959.0	2.00155	0.00043	150.644334	2.104595	-1.0	2.0	Par005	191	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64436929897724	2.104635757132356	712841.0	2.0096		1.3186	2.4238
